BusinessID,BusinessName,OwnerName,Address,ContactNumber
1,Divape,Kahlil Monelle,489 Heath Pass,221-764-4274
2,Tavu,Serge Dudbridge,06848 Butternut Point,705-341-2494
3,Edgeblab,Thoma Van Zon,358 Calypso Avenue,435-570-8536
4,Oyondu,Anastasia Tweedle,8 Marcy Plaza,283-575-1669
5,Dabshots,Reginald Naisey,838 Donald Place,409-460-5757
6,Eadel,Olly Redit,2 Superior Circle,566-280-2136
7,Shuffledrive,Lula Leek,0 Pleasure Place,368-722-8012
8,Thoughtsphere,Nikolaos Allanby,847 Bunker Hill Point,514-304-4025
9,Wikido,Kermie Chipman,45199 Muir Trail,108-971-0761
10,Vidoo,Aryn Grzegorczyk,92 Hanson Parkway,737-299-4408
11,Skiba,Free Bransden,86 Cody Place,744-129-9743
12,Yakitri,Jobi Nornable,65 David Point,966-913-3508
13,Latz,Fleming Triplett,033 Weeping Birch Alley,744-112-9137
14,Gigabox,Josy Garbett,56498 Oriole Drive,777-161-7023
15,Gevee,Weber Hryskiewicz,18 Hayes Terrace,890-469-2399
16,Skipfire,Mischa Fridaye,66430 Anniversary Road,317-823-4524
17,Zoombeat,Josh Grey,825 Carberry Alley,429-386-6072
18,Linklinks,Crin Wright,91 Kings Center,154-826-7417
19,Thoughtstorm,Sacha Bille,11070 Caliangt Hill,222-120-8814
20,Agivu,Felicity Inchboard,044 Pepper Wood Lane,906-858-4082
21,Jaloo,Aksel McCoid,83 Mandrake Park,115-326-2394
22,Eadel,Imogen Troucher,1693 Shopko Place,769-111-9215
23,Shufflebeat,Serene Casajuana,208 Cardinal Plaza,716-850-9439
24,Linktype,Vonnie Woolager,3 Oak Point,481-352-5389
25,Gigabox,Karolina Huckle,48 Grayhawk Avenue,486-296-8087
26,Devpoint,Chickie Capewell,682 Gateway Court,186-374-5227
27,Meedoo,Lurleen Davys,17601 Darwin Crossing,830-553-7454
28,Gevee,Di Orrill,3365 Moose Street,235-139-4194
